rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2022-01-01,12345,123456,AI MW,10,316938,5435132,this stream,that road,1.1,FLNR,Open Bottom Structure,Bridge,2,2,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,Passable,,,Comments. 15:25,pscis_assessment_template_v24.xlsm,12345,15:25,2022-01-01T15:25:00Z,AI,12345
6,2022-01-01,,,,,,,,,,,Open Bottom Structure,Pipe Arch,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,Passable,,,,pscis_assessment_template_v24.xlsm,,,,,
7,2022-01-01,,,,,,,,,,,Open Bottom Structure,Wood Box Culvert,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,Passable,,,,pscis_assessment_template_v24.xlsm,,,,,
8,2022-01-01,,,,,,,,,,,Closed Bottom Structure,Round Culvert,20,10,Yes,0.5,Yes,Yes,100,9.9,3,1,Yes,5.2,1.2,1.2,No,No,Deep Fill,High,0.1,0,5,10,10,0,25,Barrier,,,,pscis_assessment_template_v24.xlsm,,,,,
9,2022-01-01,,,,,,,,,,,Closed Bottom Structure,Oval Culvert,,,No,,No,No,,,,,No,,,,Yes,Yes,Shallow Fill,Medium,0,0,10,0,0,0,10,Passable,,,,pscis_assessment_template_v24.xlsm,,,,,
10,2022-01-01,,,,,,,,,,,Closed Bottom Structure,Concrete Box,,,,,,,,,,,,,,,,,Bedrock,Low,0,0,0,0,0,0,0,Passable,,,,pscis_assessment_template_v24.xlsm,,,,,
11,2022-01-01,,,,,,,,,,,Other,Ford,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,Unknown,Remove/Deactivate Crossing,,,pscis_assessment_template_v24.xlsm,,,,,
12,2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,Add Substrate to Further embed the CBS,25,,pscis_assessment_template_v24.xlsm,,,,,
13,2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,Install Downstream Weir(s) to Backwater CBS,,,pscis_assessment_template_v24.xlsm,,,,,
14,2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,Replace Structure with Streambed Simulation CBS,,,pscis_assessment_template_v24.xlsm,,,,,
15,2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,Replace with New Open Bottom Structure,,,pscis_assessment_template_v24.xlsm,,,,,
