reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,0,0,0,0,0,,,,,,,,,aerial estimate,,,,,,,,,,,,,,,,,,metre stick,,,,,,,,,,,,abney type level,low,yes,,Hydrolab,,Hydrolab,,pH meter (general),clear,none,none,,,,,,,0,none,clumped,none,V-shaped,fines,,none,initial,,,,,,fines,,,,riffle-pool,straight,Decoupled,entrenched,beaver dam,,,aerial estimate,,,,gps,
2,0,0,0,0,0,,,,,,,,,aerial photo,,,,,,,,,,,,,,,,,,metre tape,,,,,,,,,,,,clinometer,moderate,no,,YSI,,YSI,,colourimetric (paper indicator),Lightly Turbid,trace,trace,,,,,,,1-20%,few,evenly distributed,algae,sloping,gravels,,grass,shrub,,,,,,gravels,,,,cascade-pool,sinuous,Partially Coupled,confined,crossing (general),,,aerial photo,,,,gis,
3,0,0,0,0,0,,,,,,,,,ground estimate,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,ground estimate,high,,,thermometer (alcohol),,recording meter,,other,Moderately Turbid,moderate,sub-dominant,,,,,,,21-40%,abundant,not applicable,mosses,overhanging bank,cobbles,,shrubs,pole-sapling,,,,,,cobbles,,,,step-pool,irregular wandering,Coupled,frequently confined,bridge,,,ground estimate,,,,,
4,0,0,0,0,0,,,,,,,,,geographic information System (GIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geographic information system (GIS),,,,thermometer (mercury),,other,,,Turbid,abundant,dominant,,,,,,,41-70%,,,vascular plants,undercut,boulders,,coniferous forest,young forest,,,,,,boulders,,,,large channel,irregular meanders,,occasionally confined,cascade or Chute,,,geographic information System (GIS),,,,,
5,0,0,0,0,0,,,,,,,,,hip-chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,map interpretation,,,,recording meter,,,,,,,,,,,,,,71-90%,,,,,large rock/bedrock,,deciduous forest,mature forest,,,,,,large rock/bedrock,,,,,regular meanders,,unconfined,canyon,,,hip-chain,,,,,
6,0,0,0,0,0,,,,,,,,,map interpretation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surveying equipment,,,,thermister,,,,,,,,,,,,,,>90%,,,,,anthropogenic,,mixed forest,not applicable,,,,,,anthropogenic,,,,,tortuous meanders,,not applicable,conduit,,,map interpretation,,,,,
7,0,0,0,0,0,,,,,,,,,metre stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,wetland,,,,,,,,,,,,,,,culvert,,,metre stick,,,,,
8,0,0,0,0,0,,,,,,,,,metre tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dam (general),,,metre tape,,,,,
9,0,0,0,0,0,,,,,,,,,range finder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dewatering,,,range finder,,,,,
10,0,0,0,0,0,,,,,,,,,laser range Finder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ditch/diversion channel,,,laser range Finder,,,,,
11,0,0,0,0,0,,,,,,,,,standard range finder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enhancement (general unspecified),,,standard range finder,,,,,
12,0,0,0,0,0,,,,,,,,,surveyor's chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erosion/sedimentation,,,surveyor's chain,,,,,
13,0,0,0,0,0,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falls,,,other,,,,,
14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,
15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisheries sensitive zone,,,,,,,,
16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fishway,,,,,,,,
17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ford,,,,,,,,
