Species,Length,Weight,tag_row
Rainbow Trout,148,36.4,2
Rainbow Trout,82,5.2,3
Rainbow Trout,38,0.6,
Rainbow Trout,36,0.6,
Rainbow Trout,118,11.5,4
Rainbow Trout,113,15.7,5
Rainbow Trout,129,23,6
Sculpin (General),78,4.4,
Rainbow Trout,112,13.6,7
Rainbow Trout,135,25.3,8
Rainbow Trout,80,5.2,9
Rainbow Trout,40,0.7,
Rainbow Trout,43,0.8,
Rainbow Trout,109,14,10
Rainbow Trout,89,8.1,11
Rainbow Trout,91,8.2,12
Rainbow Trout,102,11.1,13
Rainbow Trout,39,0.7,
Sculpin (General),48,1.6,
Rainbow Trout,99,9.6,14
Rainbow Trout,121,18.6,15
Rainbow Trout,130,27.8,16
Rainbow Trout,89,7.8,17
Rainbow Trout,101,10.6,18
Rainbow Trout,89,7.5,19
Rainbow Trout,78,4.9,20
Rainbow Trout,82,6.2,21
Rainbow Trout,72,4.1,22
Sculpin (General),45,1.1,
Rainbow Trout,96,9.4,23
Rainbow Trout,115,15.9,
Rainbow Trout,108,13.3,24
Rainbow Trout,84,6.3,25
Sculpin (General),68,3.5,
Rainbow Trout,89,8,26
Rainbow Trout,78,5.1,27
Rainbow Trout,105,12,28
Rainbow Trout,39,0.7,
Rainbow Trout,43,0.9,
Rainbow Trout,42,0.8,
Rainbow Trout,43,0.8,
Rainbow Trout,42,0.7,
Rainbow Trout,44,1,
Rainbow Trout,45,0.9,
Rainbow Trout,34,0.5,
Rainbow Trout,44,0.9,
Rainbow Trout,44,0.9,
Rainbow Trout,39,0.6,
Rainbow Trout,40,0.7,
Rainbow Trout,39,0.6,
Rainbow Trout,49,1.3,
Sculpin (General),61,2.5,
Sculpin (General),56,1.7,
Rainbow Trout,33,0.6,
Rainbow Trout,45,0.8,
Rainbow Trout,35,0.6,
Rainbow Trout,41,0.7,
Rainbow Trout,40,0.6,
Rainbow Trout,45,0.9,
Rainbow Trout,41,1,
Rainbow Trout,39,1,
Rainbow Trout,95,9.5,29
Rainbow Trout,98,9.4,30
Rainbow Trout,89,8,31
Rainbow Trout,98,10.6,32
Rainbow Trout,81,5.8,33
Sculpin (General),60,2.5,
Sculpin (General),46,1.1,
Rainbow Trout,37,1.4,
Rainbow Trout,129,24.8,34
Rainbow Trout,109,14.5,35
Rainbow Trout,110,15.8,36
Rainbow Trout,95,9.8,37
Rainbow Trout,84,6,38
Rainbow Trout,89,8.3,39
Rainbow Trout,98,9.5,
Rainbow Trout,88,,
Rainbow Trout,39,0.6,
Rainbow Trout,79,,
Rainbow Trout,109,,
