Species,Length,Weight,tag_row,date,tag_id
Rainbow Trout,148,36.4,2,08-18-2021 11:53:49 01,3DD.003E1929F2. Row ID 2. 
Rainbow Trout,82,5.2,3,08-18-2021 12:00:23 01,3DD.003E1929FC. Row ID 3. 
Rainbow Trout,38,0.6,,,
Rainbow Trout,36,0.6,,,
Rainbow Trout,118,11.5,4,08-18-2021 13:03:42 01,3DD.003E1929FD. Row ID 4. 
Rainbow Trout,113,15.7,5,08-18-2021 13:07:52 01,3DD.003E1929E6. Row ID 5. 
Rainbow Trout,129,23,6,08-18-2021 13:10:39 01,3DD.003E1929F9. Row ID 6. 
Sculpin (General),78,4.4,,,
Rainbow Trout,112,13.6,7,08-18-2021 13:15:10 01,3DD.003E1929DF. Row ID 7. 
Rainbow Trout,135,25.3,8,08-18-2021 13:17:22 01,3DD.003E1929D4. Row ID 8. 
Rainbow Trout,80,5.2,9,08-18-2021 13:19:54 01,3DD.003E1929F7. Row ID 9. 
Rainbow Trout,40,0.7,,,
Rainbow Trout,43,0.8,,,
Rainbow Trout,109,14,10,08-18-2021 13:56:36 01,3DD.003E1929F3. Row ID 10. 
Rainbow Trout,89,8.1,11,08-18-2021 13:58:55 01,3DD.003E1929C1. Row ID 11. 
Rainbow Trout,91,8.2,12,08-18-2021 14:01:05 01,3DD.003E1929F5. Row ID 12. 
Rainbow Trout,102,11.1,13,08-18-2021 14:03:17 01,3DD.003E1929F4. Row ID 13. 
Rainbow Trout,39,0.7,,,
Sculpin (General),48,1.6,,,
Rainbow Trout,99,9.6,14,08-18-2021 15:08:39 01,3DD.003E1929EB. Row ID 14. 
Rainbow Trout,121,18.6,15,08-18-2021 15:10:33 01,3DD.003E1929E9. Row ID 15. 
Rainbow Trout,130,27.8,16,08-18-2021 15:12:18 01,3DD.003E1929CE. Row ID 16. 
Rainbow Trout,89,7.8,17,08-18-2021 15:14:48 01,3DD.003E1929FE. Row ID 17. 
Rainbow Trout,101,10.6,18,08-18-2021 15:16:16 01,3DD.003E1929E3. Row ID 18. 
Rainbow Trout,89,7.5,19,08-18-2021 15:19:17 01,3DD.003E1929D9. Row ID 19. 
Rainbow Trout,78,4.9,20,08-18-2021 15:21:20 01,3DD.003E1929CD. Row ID 20. 
Rainbow Trout,82,6.2,21,08-18-2021 15:23:44 01,3DD.003E1929C9. Row ID 21. 
Rainbow Trout,72,4.1,22,08-18-2021 15:25:28 01,3DD.003E1929C5. Row ID 22. 
Sculpin (General),45,1.1,,,
Rainbow Trout,96,9.4,23,08-18-2021 15:28:16 01,3DD.003E1929D7. Row ID 23. 
Rainbow Trout,115,15.9,,,
Rainbow Trout,108,13.3,24,08-18-2021 15:34:04 01,3DD.003E1929E0. Row ID 24. 
Rainbow Trout,84,6.3,25,08-18-2021 15:36:25 01,3DD.003E1929DE. Row ID 25. 
Sculpin (General),68,3.5,,,
Rainbow Trout,89,8,26,08-18-2021 15:38:58 01,3DD.003E1929D6. Row ID 26. 
Rainbow Trout,78,5.1,27,08-18-2021 15:41:12 01,3DD.003E1929E5. Row ID 27. 
Rainbow Trout,105,12,28,08-18-2021 15:43:00 01,3DD.003E1929FA. Row ID 28. 
Rainbow Trout,39,0.7,,,
Rainbow Trout,43,0.9,,,
Rainbow Trout,42,0.8,,,
Rainbow Trout,43,0.8,,,
Rainbow Trout,42,0.7,,,
Rainbow Trout,44,1,,,
Rainbow Trout,45,0.9,,,
Rainbow Trout,34,0.5,,,
Rainbow Trout,44,0.9,,,
Rainbow Trout,44,0.9,,,
Rainbow Trout,39,0.6,,,
Rainbow Trout,40,0.7,,,
Rainbow Trout,39,0.6,,,
Rainbow Trout,49,1.3,,,
Sculpin (General),61,2.5,,,
Sculpin (General),56,1.7,,,
Rainbow Trout,33,0.6,,,
Rainbow Trout,45,0.8,,,
Rainbow Trout,35,0.6,,,
Rainbow Trout,41,0.7,,,
Rainbow Trout,40,0.6,,,
Rainbow Trout,45,0.9,,,
Rainbow Trout,41,1,,,
Rainbow Trout,39,1,,,
Rainbow Trout,95,9.5,29,08-18-2021 16:27:54 01,3DD.003E1929AF. Row ID 29. 
Rainbow Trout,98,9.4,30,08-18-2021 16:29:14 01,3DD.003E1929C2. Row ID 30. 
Rainbow Trout,89,8,31,08-18-2021 16:30:50 01,3DD.003E1929BC. Row ID 31. 
Rainbow Trout,98,10.6,32,08-18-2021 16:32:13 01,3DD.003E1929DD. Row ID 32. 
Rainbow Trout,81,5.8,33,08-18-2021 16:33:56 01,3DD.003E1929F8. Row ID 33. 
Sculpin (General),60,2.5,,,
Sculpin (General),46,1.1,,,
Rainbow Trout,37,1.4,,,
Rainbow Trout,129,24.8,34,08-18-2021 16:57:23 01,3DD.003E1929AC. Row ID 34. 
Rainbow Trout,109,14.5,35,08-18-2021 16:58:55 01,3DD.003E1929BE. Row ID 35. 
Rainbow Trout,110,15.8,36,08-18-2021 17:00:24 01,3DD.003E1929C6. Row ID 36. 
Rainbow Trout,95,9.8,37,08-18-2021 17:01:53 01,3DD.003E1929B9. Row ID 37. 
Rainbow Trout,84,6,38,08-18-2021 17:03:13 01,3DD.003E1929DA. Row ID 38. 
Rainbow Trout,89,8.3,39,08-18-2021 17:04:47 01,3DD.003E1929CC. Row ID 39. 
Rainbow Trout,98,9.5,,,
Rainbow Trout,88,,,,
Rainbow Trout,39,0.6,,,
Rainbow Trout,79,,,,
Rainbow Trout,109,,,,
