Species,Length,Weight,tag_row
Cutthroat Trout (General),76,7.3,1
Cutthroat Trout (General),55,5.4,
Cutthroat Trout (General),48,4.8,
Cutthroat Trout (General),48,2.8,
Cutthroat Trout (General),51,2.3,
Cutthroat Trout (General),52,2.1,
Cutthroat Trout (General),44,2.7,
Cutthroat Trout (General),137,29.2,2
Cutthroat Trout (General),149,35.2,3
Cutthroat Trout (General),76,4.3,4
Cutthroat Trout (General),107,14.9,5
Dolly Varden,96,12,6
Cutthroat Trout (General),98,12.6,7
Cutthroat Trout (General),52,4.8,
Cutthroat Trout (General),41,3.6,
Dolly Varden,115,19.9,8
Cutthroat Trout (General),78,5.1,9
Cutthroat Trout (General),44,2.2,
Cutthroat Trout (General),48,2.6,
Cutthroat Trout (General),41,3,
Cutthroat Trout (General),42,2.2,
Cutthroat Trout (General),52,2.9,
Cutthroat Trout (General),51,3.3,
Cutthroat Trout (General),47,1.4,
Cutthroat Trout (General),43,2.3,
Cutthroat Trout (General),54,2.6,
Cutthroat Trout (General),55,2.3,
Cutthroat Trout (General),39,1.5,
Cutthroat Trout (General),106,,
Rainbow Trout,136,30.9,10
Cutthroat Trout (General),119,15,11
Cutthroat Trout (General),104,9.8,12
Cutthroat Trout (General),110,15.5,13
Cutthroat Trout (General),99,9.9,14
Cutthroat Trout (General),102,10.6,15
Cutthroat Trout (General),52,1.7,
Fish Unidentified Species,25,,
Cutthroat Trout (General),119,17.5,16
Cutthroat Trout (General),85,7.5,17
Rainbow Trout,177,62,18
Dolly Varden,117,14.1,19
Cutthroat Trout (General),85,6.5,20
Cutthroat Trout (General),54,1.7,
Cutthroat Trout (General),56,2.2,
Dolly Varden,55,1.7,
Cutthroat Trout (General),49,1.5,
Cutthroat Trout (General),106,11.5,21
Cutthroat Trout (General),117,15.2,22
Cutthroat Trout (General),110,12.3,23
Cutthroat Trout (General),123,16.5,24
Dolly Varden,74,4.7,25
Cutthroat Trout (General),48,1.3,
Cutthroat Trout (General),59,2.1,
Dolly Varden,105,11.2,26
Cutthroat Trout (General),108,10.9,27
Cutthroat Trout (General),142,26.9,28
Dolly Varden,59,2.4,
Cutthroat Trout (General),59,2.5,
Dolly Varden,56,1.9,
Cutthroat Trout (General),53,1.6,
Dolly Varden,55,2.1,
Dolly Varden,46,1.1,
Dolly Varden,55,1.7,
Cutthroat Trout (General),44,0.8,
Rainbow Trout,98,12.2,29
Rainbow Trout,98,12.3,30
Cutthroat Trout (General),65,4.2,
Coho Salmon,63,4.7,
Cutthroat Trout (General),96,9.3,31
Coho Salmon,62,5.5,
Coho Salmon,69,6.4,32
Cutthroat Trout (General),63,4,
Cutthroat Trout (General),73,5.1,33
Cutthroat Trout (General),58,6.1,
Dolly Varden,73,5.4,34
Cutthroat Trout (General),69,4.4,35
Cutthroat Trout (General),65,3.2,
Cutthroat Trout (General),67,5.8,36
Cutthroat Trout (General),70,12.9,37
Cutthroat Trout (General),64,6.2,
Coho Salmon,69,4.7,38
Rainbow Trout,123,22.3,39
Rainbow Trout,94,8,40
Rainbow Trout,123,13.9,41
Dolly Varden,75,5.8,42
Cutthroat Trout (General),73,4.5,43
Rainbow Trout,102,12.6,44
Rainbow Trout,108,10.7,45
Cutthroat Trout (General),66,3.7,46
Coho Salmon,67,7,47
Dolly Varden,72,5,48
Rainbow Trout,97,10.2,49
Rainbow Trout,92,9.7,50
Coho Salmon,58,4.3,
Cutthroat Trout (General),66,3.9,51
Cutthroat Trout (General),60,3.5,
Cutthroat Trout (General),69,5.7,52
Cutthroat Trout (General),67,5.9,53
Rainbow Trout,64,2.8,
Rainbow Trout,65,3.5,
Rainbow Trout,107,15.3,54
Rainbow Trout,64,5.1,
Rainbow Trout,68,5.1,55
Rainbow Trout,84,8.6,56
Cutthroat Trout (General),59,4.9,
Rainbow Trout,101,12.8,57
Cutthroat Trout (General),74,5.3,58
Cutthroat Trout (General),66,4.7,
Cutthroat Trout (General),66,5.6,
Rainbow Trout,147,36.7,59
Cutthroat Trout (General),81,6.9,60
Rainbow Trout,148,29.5,61
Rainbow Trout,118,15.9,62
Rainbow Trout,109,13.9,63
Rainbow Trout,135,26.8,64
Rainbow Trout,97,11,65
Rainbow Trout,93,9.7,66
Rainbow Trout,99,9.4,67
Cutthroat Trout (General),109,13.6,68
Cutthroat Trout (General),106,13,69
Rainbow Trout,107,13.4,70
Rainbow Trout,108,15.7,71
Rainbow Trout,69,4,72
Cutthroat Trout (General),72,4.3,73
Cutthroat Trout (General),65,3.4,
Rainbow Trout,139,29.6,74
Rainbow Trout,96,10.7,75
Cutthroat Trout (General),70,5.3,76
Rainbow Trout,93,8.8,77
