Species,Length,Weight,tag_row,date,tag_id
Cutthroat Trout (General),76,7.3,1,09-12-2021 12:50:16 01,3DD.003E1929EE. Row ID 1. 
Cutthroat Trout (General),55,5.4,,,
Cutthroat Trout (General),48,4.8,,,
Cutthroat Trout (General),48,2.8,,,
Cutthroat Trout (General),51,2.3,,,
Cutthroat Trout (General),52,2.1,,,
Cutthroat Trout (General),44,2.7,,,
Cutthroat Trout (General),137,29.2,2,09-12-2021 13:35:45 01,3DD.003E1929A2. Row ID 2. 
Cutthroat Trout (General),149,35.2,3,09-12-2021 13:40:06 01,3DD.003E1929E1. Row ID 3. 
Cutthroat Trout (General),76,4.3,4,09-12-2021 13:42:21 01,3DD.003E1929DC. Row ID 4. 
Cutthroat Trout (General),107,14.9,5,09-12-2021 13:44:12 01,3DD.003E1929B7. Row ID 5. 
Dolly Varden,96,12,6,09-12-2021 13:47:36 01,3DD.003E1929B6. Row ID 6. 
Cutthroat Trout (General),98,12.6,7,09-12-2021 13:50:07 01,3DD.003E1929EF. Row ID 7. 
Cutthroat Trout (General),52,4.8,,,
Cutthroat Trout (General),41,3.6,,,
Dolly Varden,115,19.9,8,09-12-2021 14:37:14 01,3DD.003E1929EC. Row ID 8. 
Cutthroat Trout (General),78,5.1,9,09-12-2021 14:41:02 01,3DD.003E1929D0. Row ID 9. 
Cutthroat Trout (General),44,2.2,,,
Cutthroat Trout (General),48,2.6,,,
Cutthroat Trout (General),41,3,,,
Cutthroat Trout (General),42,2.2,,,
Cutthroat Trout (General),52,2.9,,,
Cutthroat Trout (General),51,3.3,,,
Cutthroat Trout (General),47,1.4,,,
Cutthroat Trout (General),43,2.3,,,
Cutthroat Trout (General),54,2.6,,,
Cutthroat Trout (General),55,2.3,,,
Cutthroat Trout (General),39,1.5,,,
Cutthroat Trout (General),106,,,,
Rainbow Trout,136,30.9,10,09-13-2021 12:29:17 01,3DD.003E1929EA. Row ID 10. 
Cutthroat Trout (General),119,15,11,09-13-2021 12:38:57 01,3DD.003E1929BF. Row ID 11. 
Cutthroat Trout (General),104,9.8,12,09-13-2021 12:41:31 01,3DD.003E1929A4. Row ID 12. 
Cutthroat Trout (General),110,15.5,13,09-13-2021 12:45:09 01,3DD.003E1929D8. Row ID 13. 
Cutthroat Trout (General),99,9.9,14,09-13-2021 12:49:39 01,3DD.003E1929ED. Row ID 14. 
Cutthroat Trout (General),102,10.6,15,09-13-2021 12:52:33 01,3DD.003E1929C8. Row ID 15. 
Cutthroat Trout (General),52,1.7,,,
Fish Unidentified Species,25,,,,
Cutthroat Trout (General),119,17.5,16,09-13-2021 13:53:49 01,3DD.003E1929AA. Row ID 16. 
Cutthroat Trout (General),85,7.5,17,09-13-2021 13:57:14 01,3DD.003E1929F0. Row ID 17. 
Rainbow Trout,177,62,18,09-13-2021 13:59:13 01,3DD.003E1929B1. Row ID 18. 
Dolly Varden,117,14.1,19,09-13-2021 14:04:42 01,3DD.003E1929A3. Row ID 19. 
Cutthroat Trout (General),85,6.5,20,09-13-2021 14:08:14 01,3DD.003E1929C7. Row ID 20. 
Cutthroat Trout (General),54,1.7,,,
Cutthroat Trout (General),56,2.2,,,
Dolly Varden,55,1.7,,,
Cutthroat Trout (General),49,1.5,,,
Cutthroat Trout (General),106,11.5,21,09-13-2021 15:32:34 01,3DD.003E1929DB. Row ID 21. 
