rowid,reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date,time,comments_2
1,,Pinenut Creek,8300238_ds,00000kisp,,,8.9,10.1,7.2,7.7,8.9,5.8,,,,3.4,8.9,5.2,4.9,6.6,3.7,,,,0.44,0.56,0.53,,,,,,,,,,,,,4,5,5,4,,,moderate,,9.7,,75,,8.15,,clear,trace,trace,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,none,sloping,cobbles,FALSE,deciduous forest,young forest,sloping,cobbles,FALSE,mixed forest,young forest,cobbles,gravels,,,FALSE,irregular meanders,Decoupled,frequently confined,ditch/diversion channel,,50,,,587045.920647714,6138705.94560761,,,2022-09-08,13:29:27,
2,,8301994_ds,,,,,3.8,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860692.245010236,1159176.95238305,,,2022-09-09,15:14:27,
3,,Tributary to  Kitwanga river,8301994_ds,00000KISP,,,2.8,3,3.2,3.6,3.8,6.7,3.2,,,0.89,2,2.2,2.2,2.8,3.25,3.1,,,0.18,0.43,0.23,0.27,,,,,,0.36,0.34,0.39,0.37,,,2.5,2,3,2,,,moderate,,,,,,,,,moderate,sub-dominant,trace,trace,trace,trace,dominant,none,21-40%,few,evenly distributed,none,sloping,gravels,FALSE,mixed forest,young forest,sloping,gravels,FALSE,mixed forest,young forest,cobbles,gravels,,,FALSE,irregular wandering,Decoupled,unconfined,ditch/diversion channel,,15,,,550301.493260038,6140711.2480886,,"Abundant overhanging veg and a lot of downed trees, stream mainly consists of gravels and cobbles, infrequent shallow pools",2022-09-09,15:21:44,
5,,Stock Creek,195943_ds,,,,2.83,4.5,3.1,4.5,3,2.8,,,,5,1.6,1.3,2.8,1.5,1,,,,0.3,0.4,0.3,0.7,,,,,,0.8,0.55,,,,,4,2,2,,,,Medium,,13.6,,343,,8.14,,Clear,,D,N,T,T,T,T,T,1-20%,N,Clumped,Algae,S,F,,S,Shr,S,G,,G,Na,G,C,,,,SI,DC,OC,,,,,9,645442.399564437,6035041.96723564,,,2022-08-30,11:29:49,
6,,Trib to Kitwanga River,8300095_us,MateoW,,,,3.6,4.1,3.2,4.5,3.4,6.1,,,,1.9,3.1,1.6,3,2.1,5.2,,,0.3,0.3,0.7,,,,,,,0.5,0.4,0.5,,,,3,2.5,5,5,,,moderate,,11.6,,291,,8.38,,clear,moderate,dominant,sub-dominant,sub-dominant,sub-dominant,trace,sub-dominant,none,1-20%,few,clumped,none,undercut,cobbles,FALSE,mixed forest,mature forest,sloping,gravels,FALSE,mixed forest,mature forest,cobbles,gravels,,,FALSE,sinuous,Partially Coupled,occasionally confined,,,,,9,563426.037520261,6109612.136155,,Moderate value habitat. Only a few areas with fines suitable for spawning. Mostly cobbles in stream. Wide channel throughout with a lot of woody debris. Large amounts of undercut banks that can provide cover. But not many deep pools. Some steep eroding banks found every  so often.,2022-09-09,15:47:55,
7,,Trib to Skeena River ,8301485,MateoW,,,,4.7,4.5,5.1,5.6,,,,,,4.4,3,1.9,2.4,,,,,0.5,0.4,,,,,,,,0.5,0.3,,,,,1,2.5,,,,,moderate,,9.2,,133,,7.6,,Lightly Turbid,moderate,sub-dominant,dominant,none,trace,trace,trace,trace,1-20%,few,clumped,vascular plants,sloping,fines,FALSE,wetland,shrub,sloping,fines,FALSE,shrubs,shrub,fines,gravels,,,FALSE,sinuous,Decoupled,unconfined,beaver dam,1,14,,9,582870.573948695,6130486.15926372,,"Mostly wetland habitat, with 3 big beaver dams spaced evenly along surveyed length. Multiple channels after first beaver dam, separated by heavily vegetated banks. Muddy bed material with some fines and gravels but nothing bigger. More gravels closer to downstream culvert that are suitable for spawning. Deep pools near wetland that can be suitable for rearing if habitat is opened up.",2022-09-10,10:13:24,
8,,Trib to Skeena River,,MateoW,,,4.7,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,sub-dominant,sub-dominant,none,none,sub-dominant,trace,dominant,1-20%,few,clumped,vascular plants,sloping,fines,FALSE,wetland,shrub,sloping,fines,FALSE,wetland,shrub,fines,gravels,,,FALSE,sinuous,Decoupled,unconfined,beaver dam,1,13,,9,583032.59385188,6130377.52638712,,Open wetland habitat with shrubs and floodplain. Beaver dam approx 100m downstream of culvert. ,2022-09-10,11:40:52,
9,,Trib to Kispiox River ,8300042_us,MateoW,,,,4.8,2.6,2.9,5.8,3.6,2.8,,,,2.2,1.9,2.2,2.9,2.4,2.2,,,0.3,0.6,0.5,0.5,0.6,,,,,0.3,0.3,0.4,,,,7,6,7,8,,,,,10,,164,,8.25,,clear,moderate,sub-dominant,dominant,sub-dominant,trace,sub-dominant,sub-dominant,none,21-40%,abundant,clumped,none,V-shaped,boulders,FALSE,mixed forest,mature forest,sloping,cobbles,FALSE,mixed forest,mature forest,cobbles,boulders,1.9,0.5,FALSE,straight,Partially Coupled,frequently confined,cascade or Chute,0.9,2.4,,9,582130.55146982,6135026.94050753,,"Moderate value habitat. Numerous cascades that are approx 1m in height, with deep pools below. Wide stream throughout. A lot of large woody debris over stream. Dam upstream. Average gradient of 7. Trace areas with gravels that could be suitable for spawning. ",2022-09-10,12:58:40,
10,,Trib to Kispiox River ,8300042_ds,MateoW,,,,5.3,,,,,,,,,2.1,,,,,,,,0.8,,,,,,,,,0.4,,,,,,11,,,,,,high,,10,,164,,8.25,,clear,trace,trace,sub-dominant,dominant,trace,trace,sub-dominant,none,1-20%,none,not applicable,none,sloping,cobbles,FALSE,deciduous forest,mature forest,sloping,gravels,FALSE,mixed forest,mature forest,cobbles,gravels,1.4,0.8,FALSE,straight,Decoupled,occasionally confined,cascade or Chute,0.7,1.2,,9,582193.311419223,6135015.54033429,,Steep stretch but good moderate value habitat. Mostly cobbles with some gravels. One cascade that's 1m in height that could block fish from coming up. ,2022-09-10,14:38:38,
11,,Sandstone Creek,4600913_us,MateoW,,,,4.9,3.7,3.1,3.2,4.4,3.2,,,,2.6,2.8,2.1,2.9,1.8,1.5,,,0.7,0.6,0.4,,,,,,,0.3,0.3,0.5,,,,3,4,3,3,,,moderate,,,,,,,,,moderate,dominant,sub-dominant,trace,sub-dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,FALSE,coniferous forest,mature forest,sloping,gravels,FALSE,coniferous forest,mature forest,cobbles,gravels,0.9,0.6,FALSE,sinuous,Decoupled,unconfined,cascade or Chute,0.4,4,,9,582729.52939037,6073893.1115396,,"Moderate value habitat. Abundant cover from woody debris, overhanging veg and undercut banks. Wide channel throughout with graveled areas suitable for spawning. Trace distribution of deep pools suitable for rearing. A couple smaller cascades (<1m in height) thar may block smaller fish. ",2022-09-12,11:23:33,
