schema_table,description
whse_basemapping.dbm_bc_7h_mil_bathymetrc_poly,"This spatial layer represents values of equal elevation below mean sea level for contour lines for only the extent of British Columbia. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_boundaries_line,"This spatial layer provides Geo-Political boundaries lines locations  for only the extent of British Columbia. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_drainage_line,"This spatial layer details line features that  represent rivers for only the extent of British Columbia. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_drainage_poly,"This spatial layer details line features that  represent lake for only the extent of British Columbia. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_population_point,"This spatial layer details point features that  represent a selection of populated places in Canada for only the extent of British Columbia. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_roads_line,"This spatial layer details line features that  represent major roads and ferry routes  for only the extent of British Columbia compiled from the Canadian layer representing major roads and ferry routes. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_park_poly,"This spatial layer details polygon features that  represent National Parks  for only the extent of British Columbia. This is not a multipart feature."
whse_basemapping.dbm_bc_7h_mil_political_poly,"This spatial layer details polygon features that  represent Canadian provinces Territories and waters and adjacent international boundaries for only the extent of British Columbia. This is not a multipart feature."
whse_legal_admin_boundaries.oats_alr_polys,"The spatial representation for the boundary of an Agricultural Land Reserve (ALR) which is a parcel of land based on soil and climate deemed necessary to be maintained for agricultural use. The ALR digital data is not considered the official representation of the ALR."
whse_legal_admin_boundaries.oats_alr_boundary_lines_svw,"The spatial representation for a segment of the boundary of an Agricultural Land Reserve (ALR) which is a parcel of land based on soil and climate deemed necessary to be maintained for agricultural use. The ALR digital data is not considered the official representation of the ALR."
whse_legal_admin_boundaries.oats_planning_reviews_svw,null
whse_legal_admin_boundaries.oats_alr_applications_svw,"Contains multi part polygons representing spatial extents of all applications within the Agriculature Land Reserve (ALR) regardless of status or application type. This view only includes applications whose spatial extents have been reviewed by the Agricultural Land Commission (ALC)."
whse_legal_admin_boundaries.oats_alr_noi_sv,
whse_legal_admin_boundaries.oats_alr_srw_sv,
whse_human_cultural_economic.rst_ates_recreation_bndry_sp,"ATES RECREATION BNDRY SP represents the boundary of the recreation area that has had the Avalanche Terrain Exposure Scale (ATES) completed. The ATES was developed by Parks Canada to help backcountry users assess the severity of the terrain encountered in a given trip. It has three terrain classes that describe the exposure of terrain to potential avalanche hazard. ATES ratings are compiled by professionals who consider eleven weighted terrain parameters in ranking a trip or tour as Simple Challenging or Complex. This is a multipart polygon layer."
whse_imagery_and_base_maps.aimg_hist_index_maps_point,"Point geometry representing the centroid of footprints of individual maps in the provincial historical air photo index map collection."
whse_imagery_and_base_maps.aimg_hist_index_maps_poly,"Polygon geometry representing the footprints of individual maps in the provincial historical air photo index map collection."
whse_basemapping.trim_ebm_airfields,null
whse_imagery_and_base_maps.aimg_photo_centroids_sp,"Annual layers of photo centre points and associated metadata representing air photos in the Provincial air photo imagery inventory."
whse_imagery_and_base_maps.aimg_photo_flightlines_sp,"Annual layers of air photo flight lines and associated metadata representing the path of the aircraft between exposures."
whse_wildlife_management.crims_alcids,null
whse_fish.fish_aquatic_invasive_spcs_sp,"This spatial layer reports non-native flora and fauna associated with freshwater and estuarine habitats in BC"
whse_water_management.gw_aquifer_vuln_sw_intrusn_sp,"This dataset contains risk ratings related to the vulnerability of coastal aquifers to sea water intrusion."
whse_water_management.wls_water_notation_aquifers_sp,"This dataset displays aquifers that have water allocation notations on them."
whse_archaeology.raad_culture_areas_sp,"The dataset divides the province of British Columbia into three culture areas defined by broad criteria (e.g. available resources; climate; language groups) which are used to categorize and predict the distribution and types of archaeological sites present.  The archaeology group refers to an archaeologist’s experience within a culture area when assessing eligibility for undertaking permitted archaeological work in BC. This is a polygon layer."
whse_archaeology.raad_bordengrid,null
whse_waste.adm_area_based_mgmt_plans_sp,null
whse_mineral_tenure.aris_mineral_reports,
whse_water_management.ssl_snow_asws_stns_sp,"Active and inactive automated snow weather station locations as part of the BC Snow Survey Network."
whse_environmental_monitoring.tawp_weather_frost_stn_point,
whse_imagery_and_base_maps.gsr_airports_svw,"GSR_AIRPORTS_SVW is a spatially enabled layer comprising AIRPORTS is a point dataset identifying locations where aircraft can take-off and land. No guarantee is given that an identified point will be maintained to sufficient standards for landing and take-off of any/all aircraft.  It includes airports aerodromes water aerodromes heliports and airstrips."
whse_basemapping.bc_basemap_lines_5km,null
whse_environmental_monitoring.env_cabin_models_sp,"Polygons showing drainage basins for current BC CABIN bioassessment models"
whse_environmental_monitoring.env_cabin_bioassessments_sp,"The Canadian Aquatic Biomonitoring Network (CABIN) is an aquatic biomonitoring program for assessing the health of fresh water ecosystems in Canada. Benthic macroinvertebrates are collected at a site (point) location and their counts are used as an indicator of the health of that water body. This is a point feature dataset"
whse_admin_boundaries.adm_college_regions_sp,"ADM_COLLEGE_REGIONS_SP are regional boundaries generally named for the largest university or college in a region. The boundaries in most cases follow School Districts or aggregates of School Districts."
reg_legal_and_admin_boundaries.rec_tenure_alpine_ski_areas_sp,"The boundaries identified in this layer represent the outermost operating boundary for existing ski areas as well as proposed boundaries for new and expanded ski resort development on Crown Land. These areas are authorized on behalf of Provincial Government by the Minister responsible for the Land Act and the Lands Parks and Housing Act in the form of a Crown Land Tenure. The tenures and the spatial data for the tenures are managed by the Mountain Resorts Branch of the Ministry of Forests Lands and Natural Resource Operations.The types of Crown Land Tenures that are represented in this layer and identify the outermost operating boundary for existing ski areas as well as proposed boundaries for new and expanded ski resort development include:  Licence of Occupation Operating Agreement Master Development Agreement Interim Agreement and Notation of Interest."
whse_water_management.wris_dams_public_svw,"The location of dams within BC and includes attributes for BC Government internal users."
whse_basemapping.bc_manmade_lines_500m,null
whse_basemapping.bc_manmade_points_500m,null
whse_environmental_monitoring.ems_monitoring_locn_groups_svw,"EMS_MONITORING_LOCN_GROUPS_SVW is a spatial view joining EMS BC Monitoring Location geometry with EMS Monitoring Groups."
whse_environmental_monitoring.ems_monitoring_locn_types_svw,"EMS_MONITORING_LOCN_TYPES_SVW is a spatial view joining EMS BC monitoring location geometry with EMS monitoring location data."
whse_basemapping.gns_geographical_names_sp,"GNS GEOGRAPHICAL NAMES SP is a listing of all official place names in the province of British Columbia.  The listing is sourced from the BC Geographical Names Information System which is the master database of BC place names.  The listing is also known as the Gazetteer."
whse_imagery_and_base_maps.gsr_hospitals_svw,"GSR_HOSPITALS_SVW describes Hospitals in British Columbia"
whse_basemapping.grid_hex_cdn_25_sqkm_sp,"Hexagonal coverage for the province of British Columbia"
whse_fish.fiss_hist_fish_dst_pnt_pub_svw,null
whse_fish.fiss_hist_fish_dst_lin_pub_svw,"FISS_FISH_DSTRBTN_LIN_PUB_SVW contains the spatial component and all business attributes related to publicly accessible fish observations along a stretch of stream."
whse_human_cultural_economic.rmp_bchydro_rsrce_optn_2010_sp,"The resource options report and data points represent a time stamped assessment of the potential energy options available to meet the needs of BC Hydro's electricity customers over the next 20 to 30 years."
whse_imagery_and_base_maps.gsr_indigenous_businesses_sv,"GSR_INDIGENOUS_BUSINESSES_SV is a spatially enabled layer comprising a brief summary of INDIGENOUS Businesses operating in the province. For each business listed in the dataset information including the INDIGENOUS owner(s) of the company location links to websites as well as primary contact information including email addresses and phone numbers is provided where available. This information is intended to facilitate connections between business owners and consumers investors and industry. It is also meant to support an understanding of ownership trends among INDIGENOUS businesses."
whse_fish.wdic_macro_reach_line_svw,null
whse_basemapping.bc_major_cities_points_500m,null
whse_basemapping.bc_major_watersheds,null
whse_imagery_and_base_maps.bcnc_bc_network_coverage_sv,"A spatial view of the information on the different telecommunications providers and the coverage they provide in the province of British Columbia based on the 25 sqkm hexagonal grid."
whse_tantalis.ta_park_ecores_pa_svw,null
whse_imagery_and_base_maps.gsr_ports_terminals_svw,"GSR_PORTS_TERMINALS_SVW is a spatially enabled layer comprising This point dataset represents the marine ports terminals shipyards and harbours on the west coast of British Columbia."
whse_basemapping.bc_prov_boundaries_lines_500m,null
whse_imagery_and_base_maps.gsr_public_library_locs_sv,"GSR_PUBLIC_LIBRARY_LOCS_SV is a spatially enabled point dataset identifying public library service point locations (public library branch or material drop-off location) in British Columbia"
whse_imagery_and_base_maps.gsr_research_centres_svw,"GSR_RESEARCH_CENTRES_SVW is a spatially enabled layer comprising This dataset provides the names addresses geographic locations affiliated institutions and areas of research specialization for the research centres affiliated with public post-secondary institutions and research hospitals in British Columbia. "
whse_basemapping.bc_riv_lake_wet_polys_500m,null
whse_basemapping.bc_spot_elevation_points_500m,null
whse_imagery_and_base_maps.gsr_schools_k_to_12_svw,"GSR_SCHOOLS_K_TO_12_SVW describes schools in British Columbia offering kindergarten to grade 12"
whse_legal_admin_boundaries.adm_tourism_regions_sp,"TOURISM REGION SP represents tourism region boundaries of British Columbia. This is a polygon layer."
